volcanoName,startDate,endDate,SO2_Mass_kt,SO2_Altitude
Chikurachki,2016 Mar 30,2016 Mar 30,4.000,6.8
Pavlof,2016 Mar 27,2016 Mar 27,20.000,9.0
Soputan,2016 Jan 05,2016 Jan 05,3.000,11.8
Fuego,2016 Jan 04,2016 Jan 20,2.000,7.0
Fuego,2016 Feb 10,2016 Feb 10,1.000,7.0
Soputan,2016 Feb 06,2016 Feb 06,5.000,7.0
Telica,2015 Nov 22,2015 Nov 22,1.000,2.4
Kuchinoerabujima,2015 May 29,2015 May 29,4.000,9.0
Wolf,2015 May 25,2015 May 25,200.000,6.7
"Fournaise, Piton de la",2015 May 18,2015 May 18,2.000,7.6
Villarrica,2015 Mar 03,2015 Mar 03,5.000,10.0
"Fournaise, Piton de la",2015 Jul 31,2015 Jul 31,2.000,7.6
Manam,2015 Jul 31,2015 Jul 31,50.000,19.0
Zhupanovsky,2015 Jul 12,2015 Jul 12,10.000,10.0
Sheveluch,2015 Feb 24,2015 Mar 16,15.000,7.0
Ambrym,2015 Feb 21,2015 Feb 21,20.000,6.3
Chikurachki,2015 Feb 16,2015 Feb 16,5.000,8.0
Fuego,2015 Feb 07,2015 Feb 07,2.000,5.0
"Fournaise, Piton de la",2015 Feb 04,2015 Feb 04,3.000,7.6
Soputan,2015 Feb 02,2015 Feb 02,2.000,6.0
Etna,2015 Dec 03,2015 Dec 03,25.000,13.0
Momotombo,2015 Dec 02,2015 Dec 02,1.500,2.0
"Fournaise, Piton de la",2015 Aug 25,2015 Aug 25,2.000,7.6
Cotopaxi,2015 Aug 14,2015 Aug 14,20.000,18.0
Calbuco,2015 Apr 22,2015 Apr 22,400.000,20.0
Ontakesan,2014 Sep 27,2014 Sep 27,1.000,10.0
Sheveluch,2014 Sep 24,2014 Sep 24,5.000,12.0
Turrialba,2014 Oct 30,2014 Oct 30,3.000,5.0
Fogo,2014 Nov 23,2014 Nov 23,382.000,9.0
Pavlof,2014 Nov 15,2014 Nov 15,46.000,12.0
Sangeang Api,2014 May 30,2014 May 30,100.000,17.0
Pacaya,2014 Mar 02,2014 Mar 02,2.000,5.0
"Fournaise, Piton de la",2014 Jun 21,2014 Jun 21,1.000,7.6
Zhupanovsky,2014 Jun 06,2014 Jun 06,227.000,6.0
Pavlof,2014 Jun 03,2014 Jun 03,10.000,12.5
Sinabung,2014 Jan 11,2014 Jan 11,20.000,7.0
Kelud,2014 Feb 13,2014 Feb 13,200.000,19.0
Hunga Tonga-Hunga Ha'apai,2014 Dec 24,2014 Dec 24,14.000,3.0
Bardarbunga,2014 Aug 31,2014 Aug 31,11800.000,5.0
Rabaul,2014 Aug 29,2014 Aug 29,31.000,18.0
Etna,2013 Oct 26,2013 Oct 26,10.000,8.0
Klyuchevskoy,2013 Oct 13,2013 Oct 20,55.000,7.0
