volcanoName,eruptionCertainty,startDate,maxVEI,activityArea,evidenceMethod,stopDate,latitude,longitude,volcanoHeight,country,primaryVolcanoType,population5km,population10km,population30km,population100km
Ambae,Confirmed Eruption,2021 Dec 5,--,,Historical Observations,2021 Dec 9,-15.389,167.835,1496 m,Vanuatu,Shield,73,"1,279","4,326","73,308"
Pinatubo,Confirmed Eruption,2021 Nov 30,--,,Historical Observations,2021 Nov 30,15.13,120.35,1486 m,Philippines,Stratovolcano,725,"3,808","1,148,684","21,875,048"
Iliwerung,Confirmed Eruption,2021 Nov 28,--,,Historical Observations,2021 Nov 29,-8.532,123.573,583 m,Indonesia,Complex,968,"4,318","79,569","665,081"
Taal,Confirmed Eruption,2021 Nov 15,--,,Historical Observations,2021 Nov 22,14.002,120.993,311 m,Philippines,Caldera,"717,090","717,090","2,380,326","24,814,047"
Turrialba,Confirmed Eruption,2021 Nov 3,--,,Historical Observations,2021 Nov 23,10.025,-83.767,3340 m,Costa Rica,Stratovolcano,"1,891","6,867","672,428","3,390,544"
Asosan,Confirmed Eruption,2021 Oct 14,--,,Historical Observations,2021 Oct 20,32.884,131.104,1592 m,Japan,Caldera,"75,559","75,559","234,591","6,507,519"
Kavachi,Confirmed Eruption,2021 Oct 2,--,,Historical Observations,2021 Nov 26,-8.991,157.979,-20 m,Solomon Islands,Submarine,6,6,802,"50,014"
Kilauea,Confirmed Eruption,2021 Sep 29,--,,Historical Observations,2021 Dec 9 (continuing),19.421,-155.287,1222 m,United States,Shield,"3,122","3,122","8,495","169,550"
La Palma,Confirmed Eruption,2021 Sep 19,--,,Historical Observations,2021 Dec 9 (continuing),28.57,-17.83,2426 m,Spain,Stratovolcano(es),442,,,
Nishinoshima,Confirmed Eruption,2021 Aug 14,--,,Historical Observations,2021 Aug 15,27.247,140.874,25 m,Japan,Caldera,0,0,0,0
Fukutoku-Oka-no-Ba,Confirmed Eruption,2021 Aug 13,--,,Historical Observations,2021 Sep 12 (?),24.285,141.481,-29 m,Japan,Submarine,11,19,19,951
Chirinkotan,Confirmed Eruption,2021 Aug 8,--,,Historical Observations,2021 Aug 24,48.98,153.48,724 m,Russia,Stratovolcano,0,0,0,6
Pavlof,Confirmed Eruption,2021 Aug 5,--,,Historical Observations,2021 Dec 9 (continuing),55.417,-161.894,2493 m,United States,Stratovolcano,0,0,0,"3,002"
Pagan,Confirmed Eruption,2021 Jul 29,--,,Historical Observations,2021 Sep 6,18.13,145.8,570 m,United States,Stratovolcano(es),0,0,0,0
Sirung,Confirmed Eruption,2021 Jul 21,--,,Historical Observations,2021 Jul 21,-8.508,124.13,862 m,Indonesia,Complex,"5,966","19,334","69,744","418,756"
Ulawun,Confirmed Eruption,2021 Jul 9,--,,Historical Observations,2021 Dec 9 (continuing),-5.05,151.33,2334 m,Papua New Guinea,Stratovolcano,30,"1,801","10,577","61,018"
Copahue,Confirmed Eruption,2021 Jul 2,--,,Historical Observations,2021 Nov 6,-37.856,-71.183,2953 m,Chile-Argentina,Stratovolcano,88,555,"3,042","138,414"
Taal,Confirmed Eruption,2021 Jul 1,--,,Historical Observations,2021 Jul 9,14.002,120.993,311 m,Philippines,Caldera,"717,090","717,090","2,380,326","24,814,047"
Rincon de la Vieja,Confirmed Eruption,2021 Jun 28,--,,Historical Observations,2021 Oct 13,10.83,-85.324,1916 m,Costa Rica,Complex,271,"1,428","78,668","659,105"
Turrialba,Confirmed Eruption,2021 Jun 13,--,,Historical Observations,2021 Jul 23,10.025,-83.767,3340 m,Costa Rica,Stratovolcano,"1,891","6,867","672,428","3,390,544"
Krakatau,Confirmed Eruption,2021 May 25,--,,Historical Observations,2021 Dec 9 (continuing),-6.102,105.423,155 m,Indonesia,Caldera,"7,177","7,177","8,027","6,326,159"
Great Sitkin,Confirmed Eruption,2021 May 25,--,,Historical Observations,2021 Dec 9 (continuing),52.076,-176.13,1740 m,United States,Stratovolcano,0,0,0,0
Dieng Volcanic Complex,Confirmed Eruption,2021 Apr 29,--,,Historical Observations,2021 Apr 29,-7.2,109.879,2565 m,Indonesia,Complex,"1,092,929","1,092,929","1,886,942","24,381,814"
Telica,Confirmed Eruption,2021 Apr 21,--,,Historical Observations,2021 Dec 9 (continuing),12.606,-86.84,1036 m,Nicaragua,Stratovolcano(es),"1,079","21,990","327,294","2,982,538"
Tengger Caldera,Confirmed Eruption,2021 Apr 15,--,Bromo,Historical Observations,2021 Oct 14,-7.942,112.95,2329 m,Indonesia,Stratovolcano(es),"27,826","69,451","1,420,878","22,628,278"
"Fournaise, Piton de la",Confirmed Eruption,2021 Apr 9,--,,Historical Observations,2021 May 24,-21.244,55.708,2632 m,France,Shield,"55,859","55,859","246,792","717,820"
Krysuvik-Trolladyngja,Confirmed Eruption,2021 Mar 19,--,,Historical Observations,2021 Sep 18,63.917,-22.067,360 m,Iceland,Crater rows,"29,070","29,070","164,484","195,915"
Veniaminof,Confirmed Eruption,2021 Feb 28,--,,Historical Observations,2021 Apr 5,56.17,-159.38,2507 m,United States,Stratovolcano,0,0,0,542
Semisopochnoi,Confirmed Eruption,2021 Feb 2,--,North Cerberus,Historical Observations,2021 Dec 9 (continuing),51.93,179.58,1221 m,United States,Stratovolcano,0,0,0,0
Raung,Confirmed Eruption,2021 Jan 21,--,,Historical Observations,2021 Apr 14,-8.119,114.056,3260 m,Indonesia,Stratovolcano,152,572,"581,515","8,123,987"
Merapi,Confirmed Eruption,2020 Dec 31,1,,Historical Observations,2021 Dec 9 (continuing),-7.54,110.446,2910 m,Indonesia,Stratovolcano,"49,205","185,849","4,348,473","24,728,414"
Soufriere St. Vincent,Confirmed Eruption,2020 Dec 27,4,,Historical Observations,2021 Apr 22,13.33,-61.18,1220 m,Saint Vincent and the Grenadines,Stratovolcano,"1,491","15,327","103,882","291,476"
San Cristobal,Confirmed Eruption,2020 Dec 27,3,,Historical Observations,2021 Nov 22 (continuing),12.702,-87.004,1745 m,Nicaragua,Stratovolcano,208,"7,876","351,227","2,002,579"
Tengger Caldera,Confirmed Eruption,2020 Dec 26,1,,Historical Observations,2020 Dec 28,-7.942,112.95,2329 m,Indonesia,Stratovolcano(es),"27,826","69,451","1,420,878","22,628,278"
Kilauea,Confirmed Eruption,2020 Dec 20,0,,Historical Observations,2021 May 23,19.421,-155.287,1222 m,United States,Shield,"3,122","3,122","8,495","169,550"
"Fournaise, Piton de la",Confirmed Eruption,2020 Dec 7,0,,Historical Observations,2020 Dec 8,-21.244,55.708,2632 m,France,Shield,"55,859","55,859","246,792","717,820"
Lewotolok,Confirmed Eruption,2020 Nov 27,2,,Historical Observations,2021 Dec 9 (continuing),-8.274,123.508,1431 m,Indonesia,Stratovolcano,"4,390","10,032","159,023","695,083"
Kikai,Confirmed Eruption,2020 Oct 6,1,,Historical Observations,2020 Oct 6,30.793,130.305,704 m,Japan,Caldera,152,152,152,"1,002,905"
Kavachi,Confirmed Eruption,2020 Sep 2,0,,Historical Observations,2021 Apr 10,-8.991,157.979,-20 m,Solomon Islands,Submarine,6,6,802,"50,014"
Kuchinoerabujima,Confirmed Eruption,2020 Aug 29,1,,Historical Observations,2020 Aug 29,30.443,130.217,657 m,Japan,Stratovolcano(es),"1,544","1,698","5,348","149,518"
Sinabung,Confirmed Eruption,2020 Aug 8,3,,Historical Observations,2021 Sep 23,3.17,98.392,2460 m,Indonesia,Stratovolcano,997,"13,801","163,630","7,646,863"
Telica,Confirmed Eruption,2020 Jul 20,1,,Historical Observations,2020 Dec 9,12.606,-86.84,1036 m,Nicaragua,Stratovolcano(es),"1,079","21,990","327,294","2,982,538"
Raung,Confirmed Eruption,2020 Jul 16,1,,Historical Observations,2020 Oct 3,-8.119,114.056,3260 m,Indonesia,Stratovolcano,152,572,"581,515","8,123,987"
Turrialba,Confirmed Eruption,2020 Jun 18,1,,Historical Observations,2020 Aug 24,10.025,-83.767,3340 m,Costa Rica,Stratovolcano,"1,891","6,867","672,428","3,390,544"
Copahue,Confirmed Eruption,2020 Jun 16,2,Agrio Crater,Historical Observations,2020 Oct 19 ± 2 days,-37.856,-71.183,2953 m,Chile-Argentina,Stratovolcano,88,555,"3,042","138,414"
Cleveland,Confirmed Eruption,2020 Jun 1,3,,Historical Observations,2020 Jun 1,52.825,-169.944,1730 m,United States,Stratovolcano,0,0,0,9
Kikai,Confirmed Eruption,2020 Apr 29,1,,Historical Observations,2020 Apr 29,30.793,130.305,704 m,Japan,Caldera,152,152,152,"1,002,905"
Karymsky,Confirmed Eruption,2020 Apr 1,3,,Historical Observations,2021 Dec 9 (continuing),54.049,159.443,1513 m,Russia,Stratovolcano,0,0,291,"10,848"
Soputan,Confirmed Eruption,2020 Mar 23,2,,Historical Observations,2020 Apr 2,1.112,124.737,1785 m,Indonesia,Stratovolcano,"4,724","69,991","501,336","1,696,768"
Kavachi,Confirmed Eruption,2020 Mar 16,0,,Historical Observations,2020 Apr 30,-8.991,157.979,-20 m,Solomon Islands,Submarine,6,6,802,"50,014"
Sarychev Peak,Confirmed Eruption,2020 Feb 29,1,,Historical Observations,2021 Nov 26 (continuing),48.092,153.2,1496 m,Russia,Stratovolcano,17,143,143,148
San Miguel,Confirmed Eruption,2020 Feb 22,1,,Historical Observations,2020 Feb 22,13.434,-88.269,2130 m,El Salvador,Stratovolcano,"1,232","63,007","796,482","3,633,885"
"Fournaise, Piton de la",Confirmed Eruption,2020 Feb 10,0,,Historical Observations,2020 Apr 6,-21.244,55.708,2632 m,France,Shield,"55,859","55,859","246,792","717,820"
Rincon de la Vieja,Confirmed Eruption,2020 Jan 30,2,,Historical Observations,2020 Dec 13,10.83,-85.324,1916 m,Costa Rica,Complex,271,"1,428","78,668","659,105"
Fernandina,Confirmed Eruption,2020 Jan 12,0,,Historical Observations,2020 Jan 13,-0.37,-91.55,1476 m,Ecuador,Shield,129,129,208,"1,972"
Taal,Confirmed Eruption,2020 Jan 12,4,,Historical Observations,2020 Jan 22,14.002,120.993,311 m,Philippines,Caldera,"717,090","717,090","2,380,326","24,814,047"
Kuchinoerabujima,Confirmed Eruption,2020 Jan 11,3,,Historical Observations,2020 May 13,30.443,130.217,657 m,Japan,Stratovolcano(es),"1,544","1,698","5,348","149,518"
Whakaari/White Island,Confirmed Eruption,2019 Dec 9,2,1978/90 Crater Complex,Historical Observations,2019 Dec 9,-37.52,177.18,294 m,New Zealand,Stratovolcano(es),5,5,5,"190,290"
Semisopochnoi,Confirmed Eruption,2019 Dec 7,1,North Cerberus,Historical Observations,2020 Jun 19,51.93,179.58,1221 m,United States,Stratovolcano,0,0,0,0
Nishinoshima,Confirmed Eruption,2019 Dec 5,1,,Historical Observations,2020 Aug 27,27.247,140.874,25 m,Japan,Caldera,0,0,0,0
Cleveland,Uncertain Eruption,2019 Nov 7,--,, ,[ 2019 Dec 7 (?) ],52.825,-169.944,1730 m,United States,Stratovolcano,0,0,0,9
Kikai,Confirmed Eruption,2019 Nov 2,2,,Historical Observations,2019 Nov 2,30.793,130.305,704 m,Japan,Caldera,152,152,152,"1,002,905"
Lateiki,Confirmed Eruption,2019 Oct 13,1,,Historical Observations,2019 Oct 22,-19.18,-174.87,43 m,Tonga,Submarine,18,18,18,"7,907"
Asamayama,Confirmed Eruption,2019 Aug 7,2,,Historical Observations,2019 Aug 25,36.406,138.523,2568 m,Japan,Complex,583,"22,371","457,576","7,629,353"
Copahue,Confirmed Eruption,2019 Aug 2,2,Agrio Crater,Historical Observations,2019 Nov 12 (?),-37.856,-71.183,2953 m,Chile-Argentina,Stratovolcano,88,555,"3,042","138,414"
Tangkuban Parahu,Confirmed Eruption,2019 Jul 26,1,,Historical Observations,2019 Sep 17,-6.77,107.6,2084 m,Indonesia,Stratovolcano,"100,608","518,822","5,729,309","32,855,731"
Shishaldin,Confirmed Eruption,2019 Jul 23,3,Summit crater,Historical Observations,2020 May 4,54.756,-163.97,2857 m,United States,Stratovolcano,0,0,10,197
