volcanoName,eruptionCertainty,startDate,maxVEI,evidenceMethod,latitude,longitude,volcanoHeight,country,primaryVolcanoType,population5km,population10km,population30km,population100km
Ambae,1,2021 Dec 5,2,Historical Observations,-15.389,167.835,1496,Vanuatu,Shield,73,1279,4326,73308
Pinatubo,1,2021 Nov 30,4,Historical Observations,15.13,120.35,1486,Philippines,Stratovolcano,725,3808,1148684,21875048
Iliwerung,1,2021 Nov 28,1,Historical Observations,-8.532,123.573,583,Indonesia,Complex,968,4318,79569,665081
Taal,1,2021 Nov 15,2,Historical Observations,14.002,120.993,311,Philippines,Caldera,717090,717090,2380326,24814047
Turrialba,1,2021 Nov 3,2,Historical Observations,10.025,-83.767,3340,Costa Rica,Stratovolcano,1891,6867,672428,3390544
Asosan,1,2021 Oct 14,1,Historical Observations,32.884,131.104,1592,Japan,Caldera,75559,75559,234591,6507519
Kavachi,1,2021 Oct 2,1,Historical Observations,-8.991,157.979,-20,Solomon Islands,Submarine,6,6,802,50014
Kilauea,1,2021 Sep 29,0,Historical Observations,19.421,-155.287,1222,United States,Shield,3122,3122,8495,169550
Nishinoshima,1,2021 Aug 14,0,Historical Observations,27.247,140.874,25,Japan,Caldera,0,0,0,0
Fukutoku-Oka-no-Ba,1,2021 Aug 13,0,Historical Observations,24.285,141.481,-29,Japan,Submarine,11,19,19,951
Chirinkotan,1,2021 Aug 8,1,Historical Observations,48.98,153.48,724,Russia,Stratovolcano,0,0,0,6
Pavlof,1,2021 Aug 5,2,Historical Observations,55.417,-161.894,2493,United States,Stratovolcano,0,0,0,3002
Pagan,1,2021 Jul 29,1,Historical Observations,18.13,145.8,570,United States,Stratovolcano,0,0,0,0
Sirung,1,2021 Jul 21,1,Historical Observations,-8.508,124.13,862,Indonesia,Complex,5966,19334,69744,418756
Ulawun,1,2021 Jul 9,1,Historical Observations,-5.05,151.33,2334,Papua New Guinea,Stratovolcano,30,1801,10577,61018
Copahue,1,2021 Jul 2,1,Historical Observations,-37.856,-71.183,2953,Chile-Argentina,Stratovolcano,88,555,3042,138414
Taal,1,2021 Jul 1,2,Historical Observations,14.002,120.993,311,Philippines,Caldera,717090,717090,2380326,24814047
Rincon de la Vieja,1,2021 Jun 28,1,Historical Observations,10.83,-85.324,1916,Costa Rica,Complex,271,1428,78668,659105
Turrialba,1,2021 Jun 13,2,Historical Observations,10.025,-83.767,3340,Costa Rica,Stratovolcano,1891,6867,672428,3390544
Krakatau,1,2021 May 25,2,Historical Observations,-6.102,105.423,155,Indonesia,Caldera,7177,7177,8027,6326159
Great Sitkin,1,2021 May 25,1,Historical Observations,52.076,-176.13,1740,United States,Stratovolcano,0,0,0,0
Dieng Volcanic Complex,1,2021 Apr 29,1,Historical Observations,-7.2,109.879,2565,Indonesia,Complex,1092929,1092929,1886942,24381814
Telica,1,2021 Apr 21,1,Historical Observations,12.606,-86.84,1036,Nicaragua,Stratovolcano,1079,21990,327294,2982538
Tengger Caldera,1,2021 Apr 15,2,Historical Observations,-7.942,112.95,2329,Indonesia,Stratovolcano,27826,69451,1420878,22628278
"Fournaise, Piton de la",1,2021 Apr 9,1,Historical Observations,-21.244,55.708,2632,France,Shield,55859,55859,246792,717820
Krysuvik-Trolladyngja,1,2021 Mar 19,0,Historical Observations,63.917,-22.067,360,Iceland,Crater rows,29070,29070,164484,195915
Veniaminof,1,2021 Feb 28,2,Historical Observations,56.17,-159.38,2507,United States,Stratovolcano,0,0,0,542
Semisopochnoi,1,2021 Feb 2,1,Historical Observations,51.93,179.58,1221,United States,Stratovolcano,0,0,0,0
Raung,1,2021 Jan 21,2,Historical Observations,-8.119,114.056,3260,Indonesia,Stratovolcano,152,572,581515,8123987
Merapi,1,2020 Dec 31,1,Historical Observations,-7.54,110.446,2910,Indonesia,Stratovolcano,49205,185849,4348473,24728414
Soufriere St. Vincent,1,2020 Dec 27,4,Historical Observations,13.33,-61.18,1220,Saint Vincent and the Grenadines,Stratovolcano,1491,15327,103882,291476
San Cristobal,1,2020 Dec 27,3,Historical Observations,12.702,-87.004,1745,Nicaragua,Stratovolcano,208,7876,351227,2002579
Tengger Caldera,1,2020 Dec 26,1,Historical Observations,-7.942,112.95,2329,Indonesia,Stratovolcano,27826,69451,1420878,22628278
Kilauea,1,2020 Dec 20,0,Historical Observations,19.421,-155.287,1222,United States,Shield,3122,3122,8495,169550
"Fournaise, Piton de la",1,2020 Dec 7,0,Historical Observations,-21.244,55.708,2632,France,Shield,55859,55859,246792,717820
Lewotolok,1,2020 Nov 27,2,Historical Observations,-8.274,123.508,1431,Indonesia,Stratovolcano,4390,10032,159023,695083
Kikai,1,2020 Oct 6,1,Historical Observations,30.793,130.305,704,Japan,Caldera,152,152,152,1002905
Kavachi,1,2020 Sep 2,0,Historical Observations,-8.991,157.979,-20,Solomon Islands,Submarine,6,6,802,50014
